"agentid","callid","customerid","pickedup","duration","productsold","agent_name"
0,680,837,False,0,"0","Michele Williams"
0,5331,10,False,0,"0","Michele Williams"
0,2768,779,False,0,"0","Michele Williams"
0,7149,897,False,0,"0","Michele Williams"
0,450,275,False,0,"0","Michele Williams"
0,4690,636,False,0,"0","Michele Williams"
0,7169,848,False,0,"0","Michele Williams"
0,8789,602,False,0,"0","Michele Williams"
0,3750,3,False,0,"0","Michele Williams"
0,9372,512,False,0,"0","Michele Williams"
0,7689,519,False,0,"0","Michele Williams"
0,2415,235,False,0,"0","Michele Williams"
0,7202,795,False,0,"0","Michele Williams"
0,7502,7,False,0,"0","Michele Williams"
0,3841,788,False,0,"0","Michele Williams"
0,2526,915,False,0,"0","Michele Williams"
0,4984,317,False,0,"0","Michele Williams"
0,6012,928,False,0,"0","Michele Williams"
0,4487,353,False,0,"0","Michele Williams"
0,2890,147,False,0,"0","Michele Williams"
0,5318,82,False,0,"0","Michele Williams"
0,2581,928,False,0,"0","Michele Williams"
0,4526,616,False,0,"0","Michele Williams"
0,6929,831,False,0,"0","Michele Williams"
0,144,52,False,0,"0","Michele Williams"
0,2029,146,False,0,"0","Michele Williams"
0,6718,530,False,0,"0","Michele Williams"
0,3533,160,False,0,"0","Michele Williams"
0,3131,534,False,0,"0","Michele Williams"
0,540,492,False,0,"0","Michele Williams"
0,4800,137,False,0,"0","Michele Williams"
0,3991,1000,False,0,"0","Michele Williams"
0,5961,722,False,0,"0","Michele Williams"
0,5741,454,False,0,"0","Michele Williams"
0,6090,338,False,0,"0","Michele Williams"
0,9131,779,False,0,"0","Michele Williams"
0,2745,439,False,0,"0","Michele Williams"
0,792,310,False,0,"0","Michele Williams"
0,2481,349,False,0,"0","Michele Williams"
0,4458,889,False,0,"0","Michele Williams"
0,4015,868,False,0,"0","Michele Williams"
0,8254,610,False,0,"0","Michele Williams"
0,4705,737,False,0,"0","Michele Williams"
0,9908,631,False,0,"0","Michele Williams"
0,7532,15,False,0,"0","Michele Williams"
0,3461,58,False,0,"0","Michele Williams"
0,8713,934,False,0,"0","Michele Williams"
0,3340,657,False,0,"0","Michele Williams"
0,2196,636,False,0,"0","Michele Williams"
0,1825,483,False,0,"0","Michele Williams"
0,8140,383,False,0,"0","Michele Williams"
0,6491,268,False,0,"0","Michele Williams"
0,9168,79,False,0,"0","Michele Williams"
0,4975,561,False,0,"0","Michele Williams"
0,2554,643,False,0,"0","Michele Williams"
0,7480,839,False,0,"0","Michele Williams"
0,407,474,False,0,"0","Michele Williams"
0,2556,62,False,0,"0","Michele Williams"
0,8423,425,False,0,"0","Michele Williams"
