"agentid","callid","customerid","pickedup","duration","productsold","agent_name"
0,7999,519,True,117,"0","Michele Williams"
0,7100,469,True,235,"0","Michele Williams"
0,3752,74,True,185,"0","Michele Williams"
0,3751,562,True,121,"0","Michele Williams"
0,6783,30,True,102,"1","Michele Williams"
0,6919,353,True,261,"0","Michele Williams"
0,2411,486,True,280,"0","Michele Williams"
0,680,837,False,0,"0","Michele Williams"
0,6332,799,True,186,"0","Michele Williams"
0,1279,44,True,164,"0","Michele Williams"
0,5331,10,False,0,"0","Michele Williams"
0,8277,720,True,229,"0","Michele Williams"
0,9116,967,True,215,"0","Michele Williams"
0,2768,779,False,0,"0","Michele Williams"
0,2416,289,True,67,"0","Michele Williams"
0,7149,897,False,0,"0","Michele Williams"
0,395,829,True,183,"1","Michele Williams"
0,450,275,False,0,"0","Michele Williams"
0,4690,636,False,0,"0","Michele Williams"
0,9368,81,True,154,"1","Michele Williams"
0,2624,123,True,171,"1","Michele Williams"
0,7169,848,False,0,"0","Michele Williams"
0,8789,602,False,0,"0","Michele Williams"
0,3750,3,False,0,"0","Michele Williams"
0,8033,595,True,110,"0","Michele Williams"
0,9372,512,False,0,"0","Michele Williams"
0,4240,1,True,148,"0","Michele Williams"
0,2978,857,True,215,"0","Michele Williams"
0,4567,870,True,244,"0","Michele Williams"
0,8417,260,True,214,"0","Michele Williams"
0,6928,160,True,69,"0","Michele Williams"
0,7689,519,False,0,"0","Michele Williams"
0,1531,428,True,199,"1","Michele Williams"
0,3002,363,True,123,"1","Michele Williams"
0,430,217,True,191,"0","Michele Williams"
0,2532,517,True,177,"1","Michele Williams"
0,4711,408,True,201,"1","Michele Williams"
0,1197,948,True,70,"1","Michele Williams"
0,2415,235,False,0,"0","Michele Williams"
0,947,825,True,227,"1","Michele Williams"
0,4890,170,True,75,"0","Michele Williams"
0,8660,836,True,215,"0","Michele Williams"
0,707,601,True,263,"0","Michele Williams"
0,3432,22,True,145,"0","Michele Williams"
0,7187,580,True,124,"0","Michele Williams"
0,7202,795,False,0,"0","Michele Williams"
0,7835,349,True,176,"0","Michele Williams"
0,7502,7,False,0,"0","Michele Williams"
0,3841,788,False,0,"0","Michele Williams"
0,7300,892,True,168,"0","Michele Williams"
0,2526,915,False,0,"0","Michele Williams"
0,3133,706,True,178,"0","Michele Williams"
0,5758,437,True,252,"0","Michele Williams"
0,6767,570,True,187,"0","Michele Williams"
0,3146,440,True,118,"1","Michele Williams"
0,1080,926,True,253,"0","Michele Williams"
0,6471,711,True,193,"1","Michele Williams"
0,4984,317,False,0,"0","Michele Williams"
0,6012,928,False,0,"0","Michele Williams"
0,8293,801,True,88,"0","Michele Williams"
0,4487,353,False,0,"0","Michele Williams"
0,7285,865,True,211,"0","Michele Williams"
0,7691,895,True,231,"1","Michele Williams"
0,2655,960,True,178,"0","Michele Williams"
0,8313,740,True,166,"0","Michele Williams"
0,2890,147,False,0,"0","Michele Williams"
0,6330,902,True,208,"1","Michele Williams"
0,9024,23,True,190,"0","Michele Williams"
0,5477,2,True,273,"1","Michele Williams"
0,4348,908,True,192,"1","Michele Williams"
0,7859,768,True,153,"0","Michele Williams"
0,1950,228,True,181,"0","Michele Williams"
0,5083,39,True,137,"0","Michele Williams"
0,1463,731,True,180,"0","Michele Williams"
0,220,317,True,119,"0","Michele Williams"
0,4072,1,True,187,"0","Michele Williams"
0,8058,76,True,153,"1","Michele Williams"
0,5318,82,False,0,"0","Michele Williams"
0,2656,4,True,121,"0","Michele Williams"
0,336,910,True,245,"0","Michele Williams"
0,3619,160,True,199,"1","Michele Williams"
0,6157,839,True,102,"0","Michele Williams"
0,2581,928,False,0,"0","Michele Williams"
0,4526,616,False,0,"0","Michele Williams"
0,7226,618,True,237,"0","Michele Williams"
0,1772,263,True,223,"0","Michele Williams"
0,4566,306,True,200,"0","Michele Williams"
0,2743,602,True,184,"0","Michele Williams"
0,8240,2,True,177,"0","Michele Williams"
0,6773,156,True,228,"1","Michele Williams"
0,2454,684,True,168,"1","Michele Williams"
0,6929,831,False,0,"0","Michele Williams"
0,4725,502,True,184,"0","Michele Williams"
0,144,52,False,0,"0","Michele Williams"
0,185,281,True,171,"0","Michele Williams"
0,9561,437,True,197,"1","Michele Williams"
0,2434,743,True,228,"0","Michele Williams"
0,246,727,True,159,"0","Michele Williams"
0,2029,146,False,0,"0","Michele Williams"
0,4661,984,True,173,"0","Michele Williams"
0,5564,395,True,193,"0","Michele Williams"
0,6108,691,True,145,"0","Michele Williams"
0,6718,530,False,0,"0","Michele Williams"
0,3533,160,False,0,"0","Michele Williams"
0,4922,325,True,203,"1","Michele Williams"
0,3131,534,False,0,"0","Michele Williams"
0,864,280,True,83,"1","Michele Williams"
0,3528,185,True,175,"0","Michele Williams"
0,943,371,True,132,"0","Michele Williams"
0,540,492,False,0,"0","Michele Williams"
0,4832,722,True,223,"0","Michele Williams"
0,6440,123,True,144,"1","Michele Williams"
0,4800,137,False,0,"0","Michele Williams"
0,7784,861,True,83,"0","Michele Williams"
0,6085,866,True,75,"0","Michele Williams"
0,3991,1000,False,0,"0","Michele Williams"
0,5961,722,False,0,"0","Michele Williams"
0,5741,454,False,0,"0","Michele Williams"
0,9204,743,True,247,"0","Michele Williams"
0,7221,271,True,276,"0","Michele Williams"
0,5909,998,True,213,"0","Michele Williams"
0,6695,561,True,128,"0","Michele Williams"
0,4601,855,True,183,"0","Michele Williams"
0,7670,782,True,128,"0","Michele Williams"
0,6090,338,False,0,"0","Michele Williams"
0,3145,799,True,207,"0","Michele Williams"
0,2782,762,True,184,"1","Michele Williams"
0,3638,373,True,226,"0","Michele Williams"
0,9131,779,False,0,"0","Michele Williams"
0,2745,439,False,0,"0","Michele Williams"
0,792,310,False,0,"0","Michele Williams"
0,339,564,True,259,"0","Michele Williams"
0,2481,349,False,0,"0","Michele Williams"
0,9001,54,True,206,"0","Michele Williams"
0,1093,503,True,197,"1","Michele Williams"
0,6711,677,True,79,"0","Michele Williams"
0,3445,261,True,188,"0","Michele Williams"
0,1135,262,True,178,"0","Michele Williams"
0,6956,833,True,303,"0","Michele Williams"
0,4458,889,False,0,"0","Michele Williams"
0,4015,868,False,0,"0","Michele Williams"
0,8254,610,False,0,"0","Michele Williams"
0,4705,737,False,0,"0","Michele Williams"
0,1586,544,True,289,"0","Michele Williams"
0,8999,621,True,187,"1","Michele Williams"
0,7542,839,True,141,"1","Michele Williams"
0,4132,119,True,144,"0","Michele Williams"
0,8989,746,True,197,"0","Michele Williams"
0,9908,631,False,0,"0","Michele Williams"
0,7532,15,False,0,"0","Michele Williams"
0,2078,505,True,159,"0","Michele Williams"
0,2080,264,True,170,"1","Michele Williams"
0,3297,783,True,230,"0","Michele Williams"
0,3461,58,False,0,"0","Michele Williams"
0,8713,934,False,0,"0","Michele Williams"
0,3340,657,False,0,"0","Michele Williams"
0,4193,465,True,170,"1","Michele Williams"
0,2196,636,False,0,"0","Michele Williams"
0,1825,483,False,0,"0","Michele Williams"
0,8140,383,False,0,"0","Michele Williams"
0,7828,94,True,234,"1","Michele Williams"
0,4883,940,True,128,"1","Michele Williams"
0,6491,268,False,0,"0","Michele Williams"
0,4483,748,True,163,"1","Michele Williams"
0,7106,549,True,205,"1","Michele Williams"
0,9168,79,False,0,"0","Michele Williams"
0,2822,373,True,117,"0","Michele Williams"
0,1609,489,True,153,"0","Michele Williams"
0,7834,415,True,228,"1","Michele Williams"
0,4975,561,False,0,"0","Michele Williams"
0,2773,473,True,171,"0","Michele Williams"
0,1105,857,True,165,"0","Michele Williams"
0,7462,239,True,230,"1","Michele Williams"
0,2554,643,False,0,"0","Michele Williams"
0,729,618,True,239,"0","Michele Williams"
0,7480,839,False,0,"0","Michele Williams"
0,5857,521,True,96,"1","Michele Williams"
0,2308,750,True,176,"0","Michele Williams"
0,407,474,False,0,"0","Michele Williams"
0,8656,376,True,216,"0","Michele Williams"
0,1258,608,True,146,"0","Michele Williams"
0,1948,357,True,156,"0","Michele Williams"
0,2556,62,False,0,"0","Michele Williams"
0,1464,200,True,209,"0","Michele Williams"
0,1603,203,True,129,"1","Michele Williams"
0,8892,425,True,91,"1","Michele Williams"
0,8423,425,False,0,"0","Michele Williams"
0,6600,900,True,220,"0","Michele Williams"
0,8219,209,True,138,"0","Michele Williams"
0,8341,65,True,130,"1","Michele Williams"
0,4306,711,True,147,"0","Michele Williams"
0,1634,709,True,172,"1","Michele Williams"
0,9115,740,True,115,"0","Michele Williams"
0,9118,114,False,0,"0","Michele Williams"
0,7942,536,False,0,"0","Michele Williams"
0,6932,964,True,95,"0","Michele Williams"
0,8148,475,False,0,"0","Michele Williams"
0,6230,334,True,270,"0","Michele Williams"
0,7936,380,True,129,"0","Michele Williams"
0,4313,394,True,192,"0","Michele Williams"
0,8231,876,True,170,"1","Michele Williams"
0,3469,928,True,207,"0","Michele Williams"
0,8354,736,True,240,"0","Michele Williams"
0,393,539,True,210,"0","Michele Williams"
0,5049,707,False,0,"0","Michele Williams"
0,6051,979,True,120,"1","Michele Williams"
0,798,486,True,126,"0","Michele Williams"
0,8118,817,False,0,"0","Michele Williams"
0,2864,291,False,0,"0","Michele Williams"
0,2502,482,False,0,"0","Michele Williams"
0,1760,857,True,205,"0","Michele Williams"
0,8957,465,True,220,"0","Michele Williams"
0,8083,743,False,0,"0","Michele Williams"
0,3561,260,True,208,"0","Michele Williams"
0,7598,205,True,197,"0","Michele Williams"
0,4738,873,True,174,"0","Michele Williams"
0,3930,439,True,164,"1","Michele Williams"
0,7479,789,False,0,"0","Michele Williams"
0,3647,397,True,209,"0","Michele Williams"
0,2957,253,False,0,"0","Michele Williams"
0,934,925,True,114,"0","Michele Williams"
0,2027,71,True,226,"0","Michele Williams"
0,9473,543,True,141,"1","Michele Williams"
0,4702,354,False,0,"0","Michele Williams"
0,6152,86,True,245,"1","Michele Williams"
0,1264,103,False,0,"0","Michele Williams"
0,9026,721,True,95,"0","Michele Williams"
0,6556,290,True,111,"0","Michele Williams"
0,5072,189,False,0,"0","Michele Williams"
0,1430,698,False,0,"0","Michele Williams"
0,1063,727,False,0,"0","Michele Williams"
0,7534,407,True,235,"1","Michele Williams"
0,6197,15,False,0,"0","Michele Williams"
0,4511,598,False,0,"0","Michele Williams"
0,3216,696,True,114,"0","Michele Williams"
0,8955,16,False,0,"0","Michele Williams"
0,6040,647,False,0,"0","Michele Williams"
0,7904,504,True,206,"0","Michele Williams"
0,5834,282,False,0,"0","Michele Williams"
0,5082,169,True,161,"1","Michele Williams"
0,9121,388,True,135,"0","Michele Williams"
0,5837,788,True,166,"0","Michele Williams"
0,592,916,True,150,"0","Michele Williams"
0,6937,652,True,203,"0","Michele Williams"
0,9003,918,False,0,"0","Michele Williams"
0,9125,770,True,133,"0","Michele Williams"
0,9251,648,True,135,"0","Michele Williams"
0,6212,688,False,0,"0","Michele Williams"
0,5719,711,True,225,"1","Michele Williams"
0,6094,510,True,175,"0","Michele Williams"
0,1408,493,True,156,"0","Michele Williams"
0,1373,58,True,270,"0","Michele Williams"
0,8243,20,True,211,"0","Michele Williams"
0,9141,954,True,241,"1","Michele Williams"
0,3642,806,True,114,"0","Michele Williams"
0,4537,531,True,226,"0","Michele Williams"
0,9771,955,True,207,"0","Michele Williams"
0,8007,796,False,0,"0","Michele Williams"
0,7602,149,True,132,"0","Michele Williams"
0,9470,533,False,0,"0","Michele Williams"
0,9513,998,True,172,"0","Michele Williams"
0,731,827,False,0,"0","Michele Williams"
0,8778,202,True,126,"0","Michele Williams"
0,9023,480,True,189,"1","Michele Williams"
0,5820,517,True,172,"0","Michele Williams"
